0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,date,125,126,127,128
6.0,12.0,2.0,2.0,8.0,3.0,14.0,5.0,2.0,2.0,15.0,5.0,3.0,4.0,7.0,12.0,8.0,12.0,6.0,2.0,16.0,19.0,2.0,14.0,4.0,2.0,14.0,8.0,10.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,9.0,3.0,5.0,2.0,15.0,7.0,6.0,7.0,3.0,8.0,2.0,2.0,3.0,16.0,4.0,3.0,12.0,13.0,21.0,21.0,11.0,13.0,8.0,5.0,14.0,5.0,2.0,6.0,5.0,2.0,5.0,4.0,3.0,10.0,12.0,11.0,9.0,8.0,4.0,3.0,14.0,8.0,9.0,7.0,14.0,2.0,5.0,4.0,6.0,15.0,9.0,8.0,3.0,6.0,4.0,7.0,14.0,2.0,2.0,7.0,3.0,12.0,6.0,6.0,8.0,8.0,4.0,14.0,14.0,4.0,3.0,15.0,9.0,17.0,4.0,10.0,16.0,11.0,4.0,5.0,11.0,2.0,19.0,35.0,8.0,4.0,10.0,10.0,2024-07-25 16:07:42.468603+00:00,5.0,15.0,2.0,2.0
9.0,12.0,7.0,5.0,5.0,10.0,17.0,9.0,4.0,7.0,9.0,11.0,9.0,13.0,14.0,16.0,14.0,13.0,5.0,4.0,6.0,10.0,9.0,10.0,8.0,9.0,12.0,8.0,16.0,11.0,4.0,6.0,10.0,10.0,5.0,13.0,8.0,4.0,6.0,18.0,9.0,13.0,10.0,8.0,13.0,13.0,5.0,12.0,7.0,8.0,12.0,4.0,10.0,14.0,15.0,17.0,3.0,7.0,7.0,6.0,9.0,14.0,10.0,9.0,6.0,14.0,11.0,8.0,14.0,5.0,14.0,10.0,14.0,4.0,12.0,2.0,10.0,10.0,10.0,14.0,5.0,7.0,3.0,17.0,9.0,11.0,15.0,16.0,6.0,13.0,12.0,10.0,7.0,5.0,10.0,9.0,14.0,11.0,11.0,9.0,13.0,8.0,13.0,9.0,5.0,7.0,8.0,12.0,10.0,6.0,7.0,8.0,12.0,16.0,11.0,8.0,11.0,12.0,13.0,4.0,8.0,9.0,7.0,14.0,12.0,2024-08-01 15:52:27.135575+00:00,10.0,7.0,9.0,4.0
9.0,12.0,7.0,5.0,5.0,10.0,17.0,9.0,4.0,7.0,9.0,11.0,9.0,13.0,14.0,16.0,14.0,13.0,5.0,4.0,6.0,10.0,9.0,10.0,8.0,9.0,12.0,8.0,16.0,11.0,4.0,6.0,10.0,10.0,5.0,13.0,8.0,4.0,6.0,18.0,9.0,13.0,10.0,8.0,13.0,13.0,5.0,12.0,7.0,8.0,12.0,4.0,10.0,14.0,15.0,17.0,3.0,7.0,7.0,6.0,9.0,14.0,10.0,9.0,6.0,14.0,11.0,8.0,14.0,5.0,14.0,10.0,14.0,4.0,12.0,2.0,10.0,10.0,10.0,14.0,5.0,7.0,3.0,17.0,9.0,11.0,15.0,16.0,6.0,13.0,12.0,10.0,7.0,5.0,10.0,9.0,14.0,11.0,11.0,9.0,13.0,8.0,13.0,9.0,5.0,7.0,8.0,12.0,10.0,6.0,7.0,8.0,12.0,16.0,11.0,8.0,11.0,12.0,13.0,4.0,8.0,9.0,7.0,14.0,12.0,2024-08-01 16:03:56.464836+00:00,10.0,7.0,9.0,4.0
10.0,10.0,8.0,12.0,7.0,8.0,19.0,19.0,2.0,7.0,10.0,7.0,12.0,18.0,16.0,2.0,15.0,5.0,11.0,12.0,6.0,7.0,11.0,4.0,10.0,3.0,15.0,12.0,19.0,7.0,9.0,7.0,12.0,15.0,11.0,16.0,4.0,11.0,7.0,9.0,8.0,16.0,15.0,8.0,1.0,3.0,9.0,7.0,8.0,4.0,21.0,11.0,16.0,3.0,9.0,9.0,4.0,5.0,3.0,15.0,8.0,3.0,11.0,18.0,18.0,21.0,16.0,17.0,12.0,9.0,14.0,11.0,3.0,9.0,12.0,10.0,4.0,7.0,17.0,5.0,2.0,12.0,18.0,12.0,13.0,5.0,15.0,10.0,4.0,10.0,3.0,8.0,6.0,4.0,7.0,5.0,5.0,10.0,13.0,12.0,14.0,18.0,3.0,4.0,3.0,19.0,15.0,13.0,15.0,4.0,8.0,7.0,11.0,10.0,5.0,13.0,15.0,19.0,3.0,12.0,3.0,16.0,2.0,11.0,6.0,2024-08-20 18:31:49.652449+00:00,22.0,18.0,1.0,
10.0,10.0,8.0,12.0,7.0,8.0,19.0,19.0,2.0,7.0,10.0,7.0,12.0,18.0,16.0,2.0,15.0,5.0,11.0,12.0,6.0,7.0,11.0,4.0,10.0,3.0,15.0,12.0,19.0,7.0,9.0,7.0,12.0,15.0,11.0,16.0,4.0,11.0,7.0,9.0,8.0,16.0,15.0,8.0,1.0,3.0,9.0,7.0,8.0,4.0,21.0,11.0,16.0,3.0,9.0,9.0,4.0,5.0,3.0,15.0,8.0,3.0,11.0,18.0,18.0,21.0,16.0,17.0,12.0,9.0,14.0,11.0,3.0,9.0,12.0,10.0,4.0,7.0,17.0,5.0,2.0,12.0,18.0,12.0,13.0,5.0,15.0,10.0,4.0,10.0,3.0,8.0,6.0,4.0,7.0,5.0,5.0,10.0,13.0,12.0,14.0,18.0,3.0,4.0,3.0,19.0,15.0,13.0,15.0,4.0,8.0,7.0,11.0,10.0,5.0,13.0,15.0,19.0,3.0,12.0,3.0,16.0,2.0,11.0,6.0,2024-08-20 18:38:42.978002+00:00,22.0,18.0,1.0,
5.0,6.0,5.0,15.0,4.0,13.0,16.0,14.0,6.0,6.0,6.0,12.0,4.0,19.0,16.0,12.0,7.0,8.0,6.0,2.0,7.0,9.0,6.0,7.0,7.0,2.0,9.0,13.0,10.0,8.0,4.0,3.0,8.0,7.0,10.0,13.0,10.0,8.0,5.0,4.0,4.0,12.0,15.0,11.0,8.0,7.0,8.0,9.0,8.0,6.0,6.0,4.0,10.0,11.0,14.0,14.0,11.0,12.0,3.0,6.0,16.0,11.0,14.0,7.0,4.0,10.0,11.0,8.0,9.0,14.0,11.0,12.0,9.0,12.0,9.0,6.0,8.0,10.0,13.0,7.0,6.0,13.0,6.0,9.0,4.0,10.0,15.0,16.0,19.0,8.0,9.0,9.0,6.0,9.0,6.0,7.0,12.0,11.0,14.0,16.0,15.0,10.0,6.0,13.0,10.0,17.0,5.0,12.0,12.0,13.0,10.0,9.0,8.0,10.0,9.0,9.0,13.0,12.0,11.0,12.0,10.0,9.0,13.0,13.0,10.0,2024-08-22 15:19:34.532171+00:00,15.0,5.0,1.0,
5.0,6.0,5.0,15.0,4.0,13.0,16.0,14.0,6.0,6.0,6.0,12.0,4.0,19.0,16.0,12.0,7.0,8.0,6.0,2.0,7.0,9.0,6.0,7.0,7.0,2.0,9.0,13.0,10.0,8.0,4.0,3.0,8.0,7.0,10.0,13.0,10.0,8.0,5.0,4.0,4.0,12.0,15.0,11.0,8.0,7.0,8.0,9.0,8.0,6.0,6.0,4.0,10.0,11.0,14.0,14.0,11.0,12.0,3.0,6.0,16.0,11.0,14.0,7.0,4.0,10.0,11.0,8.0,9.0,14.0,11.0,12.0,9.0,12.0,9.0,6.0,8.0,10.0,13.0,7.0,6.0,13.0,6.0,9.0,4.0,10.0,15.0,16.0,19.0,8.0,9.0,9.0,6.0,9.0,6.0,7.0,12.0,11.0,14.0,16.0,15.0,10.0,6.0,13.0,10.0,17.0,5.0,12.0,12.0,13.0,10.0,9.0,8.0,10.0,9.0,9.0,13.0,12.0,11.0,12.0,10.0,9.0,13.0,13.0,10.0,2024-08-22 15:30:52.561280+00:00,15.0,5.0,1.0,
2.0,7.0,6.0,2.0,8.0,16.0,6.0,5.0,7.0,2.0,3.0,14.0,4.0,11.0,19.0,3.0,4.0,6.0,2.0,8.0,2.0,4.0,3.0,4.0,6.0,2.0,6.0,9.0,3.0,43.0,7.0,11.0,4.0,8.0,9.0,8.0,15.0,7.0,2.0,4.0,2.0,9.0,6.0,13.0,11.0,5.0,4.0,3.0,6.0,3.0,4.0,3.0,6.0,4.0,10.0,9.0,7.0,4.0,3.0,10.0,43.0,4.0,5.0,7.0,2.0,3.0,3.0,16.0,3.0,4.0,8.0,9.0,17.0,3.0,8.0,3.0,8.0,16.0,4.0,5.0,5.0,16.0,2.0,8.0,2.0,4.0,17.0,11.0,15.0,5.0,7.0,14.0,2.0,4.0,3.0,3.0,3.0,3.0,10.0,8.0,8.0,3.0,14.0,4.0,22.0,14.0,52.0,18.0,5.0,3.0,3.0,8.0,16.0,7.0,8.0,9.0,15.0,30.0,11.0,5.0,3.0,2.0,40.0,7.0,12.0,2024-09-19 16:05:26.228353+00:00,9.0,2.0,,
2.0,7.0,6.0,2.0,8.0,16.0,6.0,5.0,7.0,2.0,3.0,14.0,4.0,11.0,19.0,3.0,4.0,6.0,2.0,8.0,2.0,4.0,3.0,4.0,6.0,2.0,6.0,9.0,3.0,43.0,7.0,11.0,4.0,8.0,9.0,8.0,15.0,7.0,2.0,4.0,2.0,9.0,6.0,13.0,11.0,5.0,4.0,3.0,6.0,3.0,4.0,3.0,6.0,4.0,10.0,9.0,7.0,4.0,3.0,10.0,43.0,4.0,5.0,7.0,2.0,3.0,3.0,16.0,3.0,4.0,8.0,9.0,17.0,3.0,8.0,3.0,8.0,16.0,4.0,5.0,5.0,16.0,2.0,8.0,2.0,4.0,17.0,11.0,15.0,5.0,7.0,14.0,2.0,4.0,3.0,3.0,3.0,3.0,10.0,8.0,8.0,3.0,14.0,4.0,22.0,14.0,52.0,18.0,5.0,3.0,3.0,8.0,16.0,7.0,8.0,9.0,15.0,30.0,11.0,5.0,3.0,2.0,40.0,7.0,12.0,2024-09-19 16:15:17.856301+00:00,9.0,2.0,,
8.0,3.0,4.0,8.0,10.0,14.0,4.0,0.0,8.0,8.0,8.0,4.0,0.0,1.0,8.0,0.0,1.0,8.0,3.0,12.0,5.0,11.0,17.0,10.0,3.0,3.0,4.0,16.0,11.0,1.0,18.0,16.0,8.0,8.0,11.0,8.0,3.0,2.0,10.0,3.0,5.0,4.0,14.0,8.0,1.0,9.0,0.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,3.0,6.0,4.0,1.0,16.0,1.0,3.0,0.0,3.0,3.0,5.0,14.0,4.0,11.0,12.0,7.0,11.0,1.0,4.0,11.0,6.0,0.0,5.0,10.0,5.0,2.0,2.0,6.0,8.0,1.0,10.0,14.0,16.0,1.0,0.0,3.0,0.0,4.0,4.0,4.0,2.0,4.0,14.0,0.0,12.0,15.0,5.0,5.0,4.0,10.0,21.0,2.0,7.0,18.0,9.0,8.0,1.0,9.0,21.0,4.0,10.0,1.0,15.0,4.0,17.0,3.0,3.0,8.0,11.0,13.0,2024-09-20 14:58:44.821443+00:00,14.0,11.0,4.0,1.0
2.0,4.0,7.0,4.0,2.0,14.0,11.0,6.0,3.0,7.0,4.0,2.0,2.0,6.0,10.0,3.0,4.0,14.0,8.0,7.0,3.0,10.0,11.0,25.0,8.0,83.0,46.0,56.0,33.0,23.0,12.0,3.0,14.0,5.0,12.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,10.0,15.0,3.0,2.0,5.0,12.0,4.0,2.0,7.0,2.0,22.0,25.0,39.0,44.0,5.0,95.0,13.0,10.0,10.0,3.0,2.0,6.0,4.0,2.0,2.0,3.0,3.0,2.0,8.0,3.0,2.0,5.0,2.0,12.0,10.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,12.0,3.0,6.0,3.0,5.0,10.0,5.0,3.0,10.0,15.0,61.0,1.0,51.0,7.0,16.0,11.0,8.0,35.0,5.0,33.0,2.0,17.0,21.0,25.0,22.0,16.0,17.0,5.0,40.0,46.0,46.0,27.0,19.0,7.0,56.0,45.0,7.0,,,,,2024-09-26 15:49:50.365880+00:00,,,,
2.0,4.0,7.0,4.0,2.0,14.0,11.0,6.0,3.0,7.0,4.0,2.0,2.0,6.0,11.0,10.0,3.0,4.0,14.0,8.0,7.0,3.0,10.0,11.0,25.0,8.0,83.0,46.0,56.0,33.0,23.0,12.0,3.0,14.0,5.0,12.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,10.0,15.0,3.0,2.0,5.0,12.0,4.0,2.0,7.0,2.0,22.0,25.0,39.0,44.0,5.0,95.0,13.0,10.0,10.0,3.0,2.0,6.0,4.0,2.0,2.0,3.0,3.0,2.0,8.0,3.0,2.0,5.0,2.0,12.0,10.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,12.0,3.0,6.0,3.0,5.0,10.0,5.0,3.0,10.0,15.0,61.0,1.0,51.0,7.0,16.0,11.0,8.0,35.0,5.0,33.0,2.0,17.0,21.0,25.0,22.0,16.0,17.0,5.0,40.0,46.0,46.0,27.0,19.0,7.0,56.0,45.0,7.0,,,,2024-09-26 16:14:03.585403+00:00,,,,
3.0,11.0,7.0,10.0,6.0,12.0,17.0,3.0,12.0,5.0,3.0,4.0,4.0,28.0,47.0,3.0,12.0,8.0,6.0,4.0,2.0,6.0,13.0,14.0,15.0,3.0,25.0,12.0,13.0,6.0,11.0,20.0,13.0,4.0,10.0,6.0,14.0,6.0,9.0,1.0,15.0,15.0,8.0,8.0,12.0,3.0,5.0,8.0,2.0,2.0,5.0,23.0,29.0,16.0,34.0,6.0,8.0,12.0,25.0,52.0,35.0,20.0,12.0,6.0,9.0,5.0,3.0,7.0,7.0,12.0,15.0,4.0,10.0,6.0,4.0,3.0,4.0,16.0,5.0,7.0,7.0,6.0,4.0,3.0,10.0,19.0,9.0,13.0,9.0,2.0,6.0,2.0,5.0,10.0,8.0,3.0,5.0,16.0,39.0,19.0,18.0,3.0,12.0,9.0,17.0,24.0,20.0,34.0,15.0,11.0,8.0,25.0,18.0,25.0,20.0,34.0,11.0,4.0,12.0,17.0,21.0,23.0,45.0,17.0,1.0,2024-10-09 15:32:30.740879+00:00,,,,
3.0,11.0,7.0,10.0,6.0,12.0,17.0,3.0,12.0,5.0,3.0,4.0,4.0,28.0,47.0,3.0,12.0,8.0,6.0,4.0,2.0,6.0,13.0,14.0,15.0,3.0,25.0,12.0,13.0,6.0,11.0,20.0,13.0,4.0,10.0,6.0,14.0,6.0,9.0,1.0,15.0,15.0,8.0,8.0,12.0,3.0,5.0,8.0,2.0,2.0,5.0,23.0,29.0,16.0,34.0,6.0,8.0,12.0,25.0,52.0,35.0,20.0,12.0,6.0,9.0,5.0,3.0,7.0,7.0,12.0,15.0,4.0,10.0,6.0,4.0,3.0,4.0,16.0,5.0,7.0,7.0,6.0,4.0,3.0,10.0,19.0,9.0,13.0,9.0,2.0,6.0,2.0,5.0,10.0,8.0,3.0,5.0,16.0,39.0,19.0,18.0,3.0,12.0,9.0,17.0,24.0,20.0,34.0,15.0,11.0,8.0,25.0,18.0,25.0,20.0,34.0,11.0,4.0,12.0,17.0,21.0,23.0,45.0,17.0,1.0,2024-10-09 15:45:08.331058+00:00,,,,
7.0,11.0,13.0,2.0,5.0,12.0,9.0,10.0,8.0,6.0,11.0,7.0,5.0,16.0,11.0,14.0,4.0,8.0,4.0,10.0,4.0,4.0,11.0,4.0,6.0,4.0,11.0,13.0,18.0,11.0,5.0,7.0,11.0,5.0,8.0,4.0,6.0,6.0,2.0,12.0,10.0,9.0,16.0,4.0,5.0,4.0,5.0,3.0,6.0,9.0,10.0,14.0,16.0,7.0,4.0,5.0,4.0,2.0,14.0,7.0,7.0,9.0,6.0,11.0,9.0,7.0,5.0,3.0,6.0,13.0,5.0,4.0,5.0,2.0,8.0,13.0,11.0,5.0,7.0,6.0,5.0,6.0,12.0,11.0,11.0,15.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,13.0,5.0,15.0,12.0,13.0,2.0,10.0,4.0,11.0,15.0,17.0,16.0,5.0,7.0,2.0,15.0,6.0,20.0,7.0,6.0,9.0,3.0,11.0,15.0,15.0,7.0,2.0,,,,,2024-10-17 15:44:08.341561+00:00,,,,
7.0,11.0,13.0,2.0,5.0,12.0,9.0,10.0,8.0,6.0,11.0,7.0,5.0,16.0,11.0,14.0,4.0,8.0,4.0,10.0,4.0,4.0,11.0,4.0,6.0,4.0,11.0,13.0,18.0,11.0,5.0,7.0,11.0,5.0,8.0,4.0,6.0,6.0,2.0,12.0,10.0,9.0,16.0,4.0,5.0,4.0,5.0,3.0,6.0,9.0,10.0,14.0,16.0,7.0,4.0,5.0,4.0,2.0,14.0,7.0,7.0,9.0,6.0,11.0,9.0,7.0,5.0,3.0,6.0,13.0,5.0,4.0,5.0,2.0,8.0,13.0,11.0,5.0,7.0,6.0,5.0,6.0,12.0,11.0,11.0,15.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,13.0,5.0,15.0,12.0,13.0,2.0,10.0,4.0,11.0,15.0,17.0,16.0,5.0,7.0,2.0,15.0,6.0,20.0,7.0,6.0,9.0,3.0,11.0,15.0,15.0,7.0,2.0,,,,,2024-10-17 15:55:44.950920+00:00,,,,
6.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,6.0,4.0,5.0,4.0,3.0,6.0,2.0,3.0,2.0,4.0,3.0,2.0,8.0,5.0,3.0,4.0,3.0,5.0,6.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,2.0,9.0,5.0,2.0,4.0,2.0,5.0,2.0,3.0,9.0,7.0,3.0,4.0,2.0,2.0,12.0,3.0,8.0,5.0,3.0,5.0,4.0,6.0,5.0,7.0,4.0,4.0,3.0,5.0,6.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,7.0,7.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,9.0,3.0,5.0,3.0,7.0,5.0,7.0,2.0,3.0,3.0,5.0,5.0,9.0,6.0,5.0,33.0,2.0,3.0,5.0,14.0,7.0,10.0,2.0,1.0,2024-10-24 16:21:41.105909+00:00,,,,
6.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,6.0,4.0,5.0,4.0,3.0,6.0,2.0,3.0,2.0,4.0,3.0,2.0,8.0,5.0,3.0,4.0,3.0,5.0,6.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,2.0,9.0,5.0,2.0,4.0,2.0,5.0,2.0,3.0,9.0,7.0,3.0,4.0,2.0,2.0,12.0,3.0,8.0,5.0,3.0,5.0,4.0,6.0,5.0,7.0,4.0,4.0,3.0,5.0,6.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,7.0,7.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,9.0,3.0,5.0,3.0,7.0,5.0,7.0,2.0,3.0,3.0,5.0,5.0,9.0,6.0,5.0,33.0,2.0,3.0,5.0,14.0,7.0,10.0,2.0,1.0,2024-10-24 16:30:38.613130+00:00,,,,
9.0,12.0,3.0,8.0,9.0,13.0,9.0,9.0,5.0,3.0,5.0,11.0,11.0,10.0,5.0,7.0,13.0,12.0,4.0,5.0,3.0,5.0,42.0,3.0,5.0,4.0,9.0,7.0,5.0,7.0,10.0,10.0,11.0,14.0,12.0,9.0,5.0,5.0,3.0,6.0,6.0,15.0,8.0,7.0,7.0,4.0,3.0,3.0,10.0,7.0,87.0,14.0,3.0,20.0,25.0,8.0,5.0,9.0,8.0,10.0,13.0,15.0,6.0,12.0,13.0,5.0,8.0,10.0,14.0,11.0,8.0,6.0,5.0,7.0,8.0,12.0,9.0,6.0,6.0,4.0,3.0,12.0,6.0,5.0,13.0,13.0,13.0,10.0,6.0,5.0,2.0,4.0,6.0,4.0,12.0,10.0,12.0,13.0,14.0,9.0,4.0,5.0,11.0,19.0,15.0,6.0,28.0,14.0,5.0,4.0,24.0,9.0,5.0,6.0,3.0,43.0,8.0,4.0,27.0,119.0,17.0,12.0,3.0,2.0,,2024-11-07 16:15:39.466518+00:00,,,,
9.0,12.0,3.0,8.0,9.0,13.0,9.0,9.0,5.0,3.0,5.0,11.0,11.0,10.0,5.0,7.0,13.0,12.0,4.0,5.0,3.0,5.0,42.0,3.0,5.0,4.0,9.0,7.0,5.0,7.0,10.0,10.0,11.0,14.0,12.0,9.0,5.0,5.0,3.0,6.0,6.0,15.0,8.0,7.0,7.0,4.0,3.0,3.0,10.0,7.0,87.0,14.0,3.0,20.0,25.0,8.0,5.0,9.0,8.0,10.0,13.0,15.0,6.0,12.0,13.0,5.0,8.0,10.0,14.0,11.0,8.0,6.0,5.0,7.0,8.0,12.0,9.0,6.0,6.0,4.0,3.0,12.0,6.0,5.0,13.0,13.0,13.0,10.0,6.0,5.0,2.0,4.0,6.0,4.0,12.0,10.0,12.0,13.0,14.0,9.0,4.0,5.0,11.0,19.0,15.0,6.0,28.0,14.0,5.0,4.0,24.0,9.0,5.0,6.0,3.0,43.0,8.0,4.0,27.0,119.0,17.0,12.0,3.0,2.0,,2024-11-07 16:27:18.295907+00:00,,,,
2.0,3.0,2.0,7.0,2.0,27.0,5.0,13.0,2.0,11.0,2.0,2.0,2.0,4.0,10.0,13.0,9.0,3.0,1.0,10.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,3.0,6.0,2.0,8.0,11.0,4.0,4.0,8.0,8.0,3.0,2.0,2.0,7.0,3.0,2.0,4.0,16.0,14.0,12.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,14.0,6.0,12.0,5.0,2.0,2.0,2.0,4.0,7.0,10.0,3.0,4.0,7.0,5.0,3.0,3.0,5.0,3.0,6.0,8.0,5.0,12.0,16.0,14.0,8.0,8.0,3.0,2.0,2.0,4.0,4.0,6.0,3.0,15.0,14.0,11.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,12.0,2.0,2.0,14.0,14.0,13.0,4.0,1.0,5.0,3.0,14.0,19.0,17.0,3.0,1.0,4.0,3.0,8.0,19.0,12.0,14.0,9.0,2.0,4.0,2.0,10.0,4.0,11.0,2.0,2024-11-13 15:19:45.816591+00:00,1.0,,,
2.0,3.0,2.0,7.0,2.0,27.0,5.0,13.0,2.0,11.0,2.0,2.0,2.0,4.0,10.0,13.0,9.0,3.0,1.0,10.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,3.0,6.0,2.0,8.0,11.0,4.0,4.0,8.0,8.0,3.0,2.0,2.0,7.0,3.0,2.0,4.0,16.0,14.0,12.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,14.0,6.0,12.0,5.0,2.0,2.0,2.0,4.0,7.0,10.0,3.0,4.0,7.0,5.0,3.0,3.0,5.0,3.0,6.0,8.0,5.0,12.0,16.0,14.0,8.0,8.0,3.0,2.0,2.0,4.0,4.0,6.0,3.0,15.0,14.0,11.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,12.0,2.0,2.0,14.0,14.0,13.0,4.0,1.0,5.0,3.0,14.0,19.0,17.0,3.0,1.0,4.0,3.0,8.0,19.0,12.0,14.0,9.0,2.0,4.0,2.0,10.0,4.0,11.0,2.0,2024-11-13 15:35:44.429470+00:00,1.0,,,
11.0,15.0,13.0,7.0,11.0,13.0,16.0,7.0,9.0,6.0,4.0,10.0,9.0,14.0,13.0,15.0,15.0,5.0,5.0,12.0,5.0,6.0,14.0,15.0,6.0,7.0,18.0,21.0,20.0,10.0,7.0,16.0,14.0,13.0,11.0,10.0,10.0,5.0,10.0,15.0,16.0,14.0,12.0,8.0,7.0,8.0,3.0,3.0,17.0,33.0,18.0,13.0,26.0,8.0,5.0,2.0,4.0,25.0,18.0,34.0,10.0,11.0,14.0,17.0,8.0,13.0,7.0,14.0,14.0,13.0,11.0,6.0,14.0,18.0,3.0,14.0,3.0,8.0,7.0,5.0,10.0,14.0,15.0,14.0,14.0,3.0,6.0,8.0,3.0,4.0,4.0,5.0,4.0,5.0,14.0,24.0,15.0,16.0,52.0,13.0,7.0,4.0,49.0,17.0,21.0,16.0,6.0,10.0,4.0,44.0,26.0,17.0,7.0,3.0,8.0,5.0,29.0,14.0,141.0,12.0,2.0,,,,,2024-11-22 15:48:14.304171+00:00,,,,
